# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog.,# Required | A specific and relevant title for the item.,# Required | A short and relevant description of the item.,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item.,# Required | The brand name of the item.,# Optional | The Google product category for the item.,# Optional | The Facebook product category for the item.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout.,# Optional | The discounted price of the item if it is on sale.,# Optional | The time range for your sale period.,# Optional | Use this field to create variants of the same item.,# Optional | The gender of a person that the item is targeted towards.,# Optional | The color of the item.,# Optional | The size of the item.,# Optional | The age group that the item is targeted towards.,# Optional | The material the item is made from.,# Optional | The pattern or graphic print on the item.,# Optional | Shipping details for the item.,# Optional | The shipping weight of the item.,# Optional | Legal disclaimer text for product offers.,# Optional | URL linking to the full disclaimer text.,# Optional | The URL for a video of your product.,# Optional | The URL for a video of your product.,# Optional | The item's Global Trade Item Number (GTIN).,# Optional | Add labels to products to help filter them into product sets.,# Optional | Add labels to products to help filter them into product sets.,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
product-blue-L,BEAST RED PRINT TEE - L,"This oversized boxy fit t-shirt features repeated red 'BEAST' text block printing on a dark blue vintage washed cotton jersey. Accented with screenprinted graphics of a perched raven and walking wolf, this piece highlights clean lines and high contrast streetwear design.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-blue,https://ghubor.com/blue/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_30_19%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-blue,unisex,blue,L,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-blue-XL,BEAST RED PRINT TEE - XL,"This oversized boxy fit t-shirt features repeated red 'BEAST' text block printing on a dark blue vintage washed cotton jersey. Accented with screenprinted graphics of a perched raven and walking wolf, this piece highlights clean lines and high contrast streetwear design.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-blue,https://ghubor.com/blue/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_30_19%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-blue,unisex,blue,XL,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-red-S,DOMINION OF DEATH TEE (RED) - S,A limited run crimson red streetwear tee. Features the classic 'Dominion of Death' skull illustration and gothic scripture layout screenprinted in high-contrast white and cream on our signature 240 GSM heavy combed cotton.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-red,https://ghubor.com/red/987037e7-2f37-40b5-83cd-a3cfc54a95bb.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-red,unisex,red,S,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-red-M,DOMINION OF DEATH TEE (RED) - M,A limited run crimson red streetwear tee. Features the classic 'Dominion of Death' skull illustration and gothic scripture layout screenprinted in high-contrast white and cream on our signature 240 GSM heavy combed cotton.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-red,https://ghubor.com/red/987037e7-2f37-40b5-83cd-a3cfc54a95bb.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-red,unisex,red,M,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-red-L,DOMINION OF DEATH TEE (RED) - L,A limited run crimson red streetwear tee. Features the classic 'Dominion of Death' skull illustration and gothic scripture layout screenprinted in high-contrast white and cream on our signature 240 GSM heavy combed cotton.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-red,https://ghubor.com/red/987037e7-2f37-40b5-83cd-a3cfc54a95bb.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-red,unisex,red,L,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-red-XL,DOMINION OF DEATH TEE (RED) - XL,A limited run crimson red streetwear tee. Features the classic 'Dominion of Death' skull illustration and gothic scripture layout screenprinted in high-contrast white and cream on our signature 240 GSM heavy combed cotton.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-red,https://ghubor.com/red/987037e7-2f37-40b5-83cd-a3cfc54a95bb.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-red,unisex,red,XL,adult,100% Combed Cotton Jersey,,,,,,,,,DROP 01,Tops,
product-white-1-S,MORBID PERSONALITY TEE - S,A clean off-white heavy cotton jersey tee featuring drop shoulders and a premium drape. The center back graphic shows a detailed sketch-work character design coupled with high-contrast red scripture printing: 'Shall we say morbid personality'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-1,https://ghubor.com/white%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_18_09%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-1,unisex,white,S,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-1-M,MORBID PERSONALITY TEE - M,A clean off-white heavy cotton jersey tee featuring drop shoulders and a premium drape. The center back graphic shows a detailed sketch-work character design coupled with high-contrast red scripture printing: 'Shall we say morbid personality'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-1,https://ghubor.com/white%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_18_09%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-1,unisex,white,M,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-1-L,MORBID PERSONALITY TEE - L,A clean off-white heavy cotton jersey tee featuring drop shoulders and a premium drape. The center back graphic shows a detailed sketch-work character design coupled with high-contrast red scripture printing: 'Shall we say morbid personality'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-1,https://ghubor.com/white%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_18_09%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-1,unisex,white,L,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-1-XL,MORBID PERSONALITY TEE - XL,A clean off-white heavy cotton jersey tee featuring drop shoulders and a premium drape. The center back graphic shows a detailed sketch-work character design coupled with high-contrast red scripture printing: 'Shall we say morbid personality'.,in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-1,https://ghubor.com/white%201/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2002_18_09%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-1,unisex,white,XL,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-2-S,VIGILANTE SCRIP TEE - S,"An artistic graphic tee presenting a collage of handwriting script overlays, abstract ink splatters, and a central surrealist character. Framed with red prints reading 'VIGILANTE' and 'Call me crazy but there is something terribly wrong with this world!'.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-2,https://ghubor.com/white%202/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_08_07%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-2,unisex,white,S,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-2-M,VIGILANTE SCRIP TEE - M,"An artistic graphic tee presenting a collage of handwriting script overlays, abstract ink splatters, and a central surrealist character. Framed with red prints reading 'VIGILANTE' and 'Call me crazy but there is something terribly wrong with this world!'.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-2,https://ghubor.com/white%202/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_08_07%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-2,unisex,white,M,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-2-L,VIGILANTE SCRIP TEE - L,"An artistic graphic tee presenting a collage of handwriting script overlays, abstract ink splatters, and a central surrealist character. Framed with red prints reading 'VIGILANTE' and 'Call me crazy but there is something terribly wrong with this world!'.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-2,https://ghubor.com/white%202/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_08_07%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-2,unisex,white,L,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
product-white-2-XL,VIGILANTE SCRIP TEE - XL,"An artistic graphic tee presenting a collage of handwriting script overlays, abstract ink splatters, and a central surrealist character. Framed with red prints reading 'VIGILANTE' and 'Call me crazy but there is something terribly wrong with this world!'.",in stock,new,4500.00 INR,https://ghubor.com/shop/product-white-2,https://ghubor.com/white%202/ChatGPT%20Image%20Jul%2011%2C%202026%2C%2005_08_07%20PM.png,Ghubor,Apparel & Accessories > Clothing,Clothing & Accessories > Clothing > Tops,100,2000.00 INR,,product-white-2,unisex,white,XL,adult,100% Heavy Combed Cotton,,,,,,,,,DROP 01,Tops,
